반복 0: 최적 이익=305.69, 평균 효율성=0.806
반복 41: 최적 이익=404.16, 평균 효율성=0.683
반복 42: 최적 이익=616.61, 평균 효율성=0.784
반복 43: 최적 이익=438.45, 평균 효율성=0.844
반복 44: 최적 이익=485.25, 평균 효율성=0.779
반복 45: 최적 이익=444.23, 평균 효율성=0.723
반복 46: 최적 이익=429.70, 평균 효율성=0.704
반복 47: 최적 이익=515.96, 평균 효율성=0.695
반복 48: 최적 이익=515.10, 평균 효율성=0.716
반복 49: 최적 이익=536.46, 평균 효율성=0.741
반복 50: 최적 이익=570.32, 평균 효율성=0.813
반복 51: 최적 이익=599.69, 평균 효율성=0.830
반복 52: 최적 이익=565.50, 평균 효율성=0.831
반복 53: 최적 이익=381.46, 평균 효율성=0.699
반복 54: 최적 이익=401.83, 평균 효율성=0.717
반복 55: 최적 이익=531.07, 평균 효율성=0.743
반복 56: 최적 이익=353.63, 평균 효율성=0.692
반복 57: 최적 이익=385.03, 평균 효율성=0.694
반복 58: 최적 이익=441.49, 평균 효율성=0.679
반복 59: 최적 이익=456.39, 평균 효율성=0.724
반복 60: 최적 이익=429.87, 평균 효율성=0.791
반복 61: 최적 이익=377.50, 평균 효율성=0.741
반복 62: 최적 이익=519.69, 평균 효율성=0.791
반복 63: 최적 이익=304.14, 평균 효율성=0.586
반복 64: 최적 이익=662.79, 평균 효율성=0.774
반복 65: 최적 이익=568.01, 평균 효율성=0.716
반복 66: 최적 이익=416.06, 평균 효율성=0.663
반복 67: 최적 이익=379.18, 평균 효율성=0.708
반복 68: 최적 이익=369.90, 평균 효율성=0.756
반복 69: 최적 이익=462.78, 평균 효율성=0.683
반복 70: 최적 이익=483.42, 평균 효율성=0.726
반복 71: 최적 이익=526.79, 평균 효율성=0.704
반복 72: 최적 이익=600.51, 평균 효율성=0.735
반복 73: 최적 이익=322.55, 평균 효율성=0.785
반복 74: 최적 이익=370.62, 평균 효율성=0.748
반복 75: 최적 이익=342.16, 평균 효율성=0.724
반복 76: 최적 이익=559.43, 평균 효율성=0.666
반복 77: 최적 이익=691.30, 평균 효율성=0.801
반복 78: 최적 이익=498.67, 평균 효율성=0.683
반복 79: 최적 이익=704.93, 평균 효율성=0.845
반복 80: 최적 이익=411.04, 평균 효율성=0.805
반복 81: 최적 이익=279.17, 평균 효율성=0.604
반복 82: 최적 이익=396.49, 평균 효율성=0.701
반복 83: 최적 이익=408.29, 평균 효율성=0.712
반복 84: 최적 이익=392.00, 평균 효율성=0.783
반복 85: 최적 이익=554.03, 평균 효율성=0.746
반복 86: 최적 이익=385.02, 평균 효율성=0.674
반복 87: 최적 이익=713.28, 평균 효율성=0.797
반복 88: 최적 이익=484.75, 평균 효율성=0.722
반복 89: 최적 이익=403.23, 평균 효율성=0.594
반복 90: 최적 이익=518.78, 평균 효율성=0.718
반복 91: 최적 이익=513.49, 평균 효율성=0.763
반복 92: 최적 이익=242.98, 평균 효율성=0.672
반복 93: 최적 이익=401.43, 평균 효율성=0.695
반복 94: 최적 이익=554.75, 평균 효율성=0.770
반복 95: 최적 이익=542.68, 평균 효율성=0.717
반복 96: 최적 이익=473.51, 평균 효율성=0.672
반복 97: 최적 이익=681.87, 평균 효율성=0.781
반복 98: 최적 이익=511.25, 평균 효율성=0.660
반복 99: 최적 이익=421.74, 평균 효율성=0.756
반복 100: 최적 이익=536.76, 평균 효율성=0.713
반복 101: 최적 이익=491.65, 평균 효율성=0.745
반복 102: 최적 이익=438.59, 평균 효율성=0.811
반복 103: 최적 이익=535.24, 평균 효율성=0.764
반복 104: 최적 이익=517.69, 평균 효율성=0.737
반복 105: 최적 이익=493.49, 평균 효율성=0.776
반복 106: 최적 이익=308.27, 평균 효율성=0.783
반복 107: 최적 이익=353.89, 평균 효율성=0.768
반복 108: 최적 이익=629.50, 평균 효율성=0.752
반복 109: 최적 이익=556.37, 평균 효율성=0.815
반복 110: 최적 이익=664.42, 평균 효율성=0.784
반복 111: 최적 이익=587.54, 평균 효율성=0.845
반복 112: 최적 이익=493.46, 평균 효율성=0.776
반복 113: 최적 이익=501.74, 평균 효율성=0.764
반복 114: 최적 이익=571.57, 평균 효율성=0.703
반복 115: 최적 이익=310.77, 평균 효율성=0.706
반복 116: 최적 이익=445.29, 평균 효율성=0.710
반복 117: 최적 이익=428.88, 평균 효율성=0.759
반복 118: 최적 이익=446.61, 평균 효율성=0.744
반복 119: 최적 이익=477.14, 평균 효율성=0.775
반복 120: 최적 이익=325.48, 평균 효율성=0.615
반복 121: 최적 이익=483.60, 평균 효율성=0.749
반복 122: 최적 이익=536.34, 평균 효율성=0.786
반복 123: 최적 이익=576.23, 평균 효율성=0.744
반복 124: 최적 이익=453.03, 평균 효율성=0.707
반복 125: 최적 이익=540.30, 평균 효율성=0.832
반복 126: 최적 이익=636.80, 평균 효율성=0.773
반복 127: 최적 이익=428.47, 평균 효율성=0.738
반복 128: 최적 이익=573.66, 평균 효율성=0.706
반복 129: 최적 이익=607.53, 평균 효율성=0.804
반복 130: 최적 이익=546.90, 평균 효율성=0.780
반복 131: 최적 이익=542.27, 평균 효율성=0.811
반복 132: 최적 이익=563.69, 평균 효율성=0.823
반복 133: 최적 이익=412.10, 평균 효율성=0.682
반복 134: 최적 이익=596.60, 평균 효율성=0.814
반복 135: 최적 이익=541.35, 평균 효율성=0.770
반복 136: 최적 이익=649.01, 평균 효율성=0.778
반복 137: 최적 이익=567.18, 평균 효율성=0.638
반복 138: 최적 이익=350.75, 평균 효율성=0.731
반복 139: 최적 이익=396.84, 평균 효율성=0.691
반복 140: 최적 이익=359.34, 평균 효율성=0.682
반복 141: 최적 이익=400.52, 평균 효율성=0.749
반복 142: 최적 이익=543.66, 평균 효율성=0.758
반복 143: 최적 이익=567.10, 평균 효율성=0.774
반복 144: 최적 이익=292.32, 평균 효율성=0.534
반복 145: 최적 이익=381.97, 평균 효율성=0.680
반복 146: 최적 이익=454.31, 평균 효율성=0.669
반복 147: 최적 이익=527.96, 평균 효율성=0.783
반복 148: 최적 이익=467.87, 평균 효율성=0.737
반복 149: 최적 이익=565.01, 평균 효율성=0.756
반복 150: 최적 이익=527.93, 평균 효율성=0.721
반복 151: 최적 이익=533.72, 평균 효율성=0.733
반복 152: 최적 이익=485.78, 평균 효율성=0.670
반복 153: 최적 이익=374.79, 평균 효율성=0.753
반복 154: 최적 이익=440.10, 평균 효율성=0.634
반복 155: 최적 이익=402.68, 평균 효율성=0.839
반복 156: 최적 이익=532.10, 평균 효율성=0.770
반복 157: 최적 이익=295.01, 평균 효율성=0.698
반복 158: 최적 이익=364.81, 평균 효율성=0.564
반복 159: 최적 이익=393.37, 평균 효율성=0.783
반복 160: 최적 이익=649.84, 평균 효율성=0.820
반복 161: 최적 이익=555.34, 평균 효율성=0.760
반복 162: 최적 이익=387.22, 평균 효율성=0.726
반복 163: 최적 이익=500.29, 평균 효율성=0.763
반복 164: 최적 이익=554.29, 평균 효율성=0.735
반복 165: 최적 이익=322.91, 평균 효율성=0.644
반복 166: 최적 이익=314.32, 평균 효율성=0.659
반복 167: 최적 이익=496.57, 평균 효율성=0.716
반복 168: 최적 이익=432.77, 평균 효율성=0.596
반복 169: 최적 이익=548.28, 평균 효율성=0.820
반복 170: 최적 이익=423.20, 평균 효율성=0.622
반복 171: 최적 이익=465.69, 평균 효율성=0.827
반복 172: 최적 이익=651.09, 평균 효율성=0.771
반복 173: 최적 이익=494.48, 평균 효율성=0.752
반복 174: 최적 이익=494.47, 평균 효율성=0.786
반복 175: 최적 이익=443.91, 평균 효율성=0.719
반복 176: 최적 이익=347.35, 평균 효율성=0.687
반복 177: 최적 이익=481.91, 평균 효율성=0.682
반복 178: 최적 이익=375.05, 평균 효율성=0.722
반복 179: 최적 이익=463.63, 평균 효율성=0.664
반복 180: 최적 이익=418.48, 평균 효율성=0.716
반복 181: 최적 이익=392.69, 평균 효율성=0.697
반복 182: 최적 이익=294.06, 평균 효율성=0.709
반복 183: 최적 이익=564.49, 평균 효율성=0.597
반복 184: 최적 이익=488.98, 평균 효율성=0.815
반복 185: 최적 이익=654.47, 평균 효율성=0.688
반복 186: 최적 이익=707.74, 평균 효율성=0.815
반복 187: 최적 이익=420.01, 평균 효율성=0.715
반복 188: 최적 이익=592.04, 평균 효율성=0.829
반복 189: 최적 이익=701.26, 평균 효율성=0.752
반복 190: 최적 이익=537.82, 평균 효율성=0.746
반복 191: 최적 이익=596.30, 평균 효율성=0.804
반복 192: 최적 이익=446.21, 평균 효율성=0.679
반복 193: 최적 이익=492.40, 평균 효율성=0.669
반복 194: 최적 이익=420.38, 평균 효율성=0.668
반복 195: 최적 이익=550.53, 평균 효율성=0.775
반복 196: 최적 이익=366.40, 평균 효율성=0.528
반복 197: 최적 이익=421.18, 평균 효율성=0.646
반복 198: 최적 이익=460.25, 평균 효율성=0.786
반복 199: 최적 이익=542.87, 평균 효율성=0.680

==================================================
데이터 포인트 수 (반복 * 실행): 1000
평균 분산/최적 비율: 0.734
최소 비율: 0.319
최대 비율: 0.952
